idx,emoji,category,codepoints
275,😏,Smileys & Emotion,1F60F
276,😒,Smileys & Emotion,1F612
277,🙄,Smileys & Emotion,1F644
278,😬,Smileys & Emotion,1F62C
279,😮‍💨,Smileys & Emotion,1F62E 200D 1F4A8
280,🤥,Smileys & Emotion,1F925
281,😌,Smileys & Emotion,1F60C
282,😔,Smileys & Emotion,1F614
283,😪,Smileys & Emotion,1F62A
284,🤤,Smileys & Emotion,1F924
285,😴,Smileys & Emotion,1F634
286,😷,Smileys & Emotion,1F637
287,🤒,Smileys & Emotion,1F912
288,🤕,Smileys & Emotion,1F915
289,🤢,Smileys & Emotion,1F922
290,🤮,Smileys & Emotion,1F92E
291,🤧,Smileys & Emotion,1F927
292,🥵,Smileys & Emotion,1F975
293,🥶,Smileys & Emotion,1F976
294,🥴,Smileys & Emotion,1F974
295,😵,Smileys & Emotion,1F635
296,😵‍💫,Smileys & Emotion,1F635 200D 1F4AB
297,🤯,Smileys & Emotion,1F92F
298,🤠,Smileys & Emotion,1F920
299,🥳,Smileys & Emotion,1F973
300,🥸,Smileys & Emotion,1F978
301,😎,Smileys & Emotion,1F60E
302,🤓,Smileys & Emotion,1F913
303,🧐,Smileys & Emotion,1F9D0
304,😕,Smileys & Emotion,1F615
305,😟,Smileys & Emotion,1F61F
306,🙁,Smileys & Emotion,1F641
308,😮,Smileys & Emotion,1F62E
309,😯,Smileys & Emotion,1F62F
310,😲,Smileys & Emotion,1F632
311,😳,Smileys & Emotion,1F633
312,🥺,Smileys & Emotion,1F97A
313,😦,Smileys & Emotion,1F626
314,😧,Smileys & Emotion,1F627
315,😨,Smileys & Emotion,1F628
316,😰,Smileys & Emotion,1F630
317,😥,Smileys & Emotion,1F625
318,😢,Smileys & Emotion,1F622
319,😭,Smileys & Emotion,1F62D
320,😱,Smileys & Emotion,1F631
321,😖,Smileys & Emotion,1F616
322,😣,Smileys & Emotion,1F623
323,😞,Smileys & Emotion,1F61E
324,😓,Smileys & Emotion,1F613
325,😩,Smileys & Emotion,1F629
326,😫,Smileys & Emotion,1F62B
327,🥱,Smileys & Emotion,1F971
328,😤,Smileys & Emotion,1F624
329,😡,Smileys & Emotion,1F621
330,😠,Smileys & Emotion,1F620
331,🤬,Smileys & Emotion,1F92C
332,😈,Smileys & Emotion,1F608
333,👿,Smileys & Emotion,1F47F
334,💀,Smileys & Emotion,1F480
336,💩,Smileys & Emotion,1F4A9
337,🤡,Smileys & Emotion,1F921
338,👹,Smileys & Emotion,1F479
339,👺,Smileys & Emotion,1F47A
340,👻,Smileys & Emotion,1F47B
341,👽,Smileys & Emotion,1F47D
342,👾,Smileys & Emotion,1F47E
343,🤖,Smileys & Emotion,1F916
344,😺,Smileys & Emotion,1F63A
345,😸,Smileys & Emotion,1F638
346,😹,Smileys & Emotion,1F639
347,😻,Smileys & Emotion,1F63B
348,😼,Smileys & Emotion,1F63C
349,😽,Smileys & Emotion,1F63D
350,🙀,Smileys & Emotion,1F640
351,😿,Smileys & Emotion,1F63F
352,😾,Smileys & Emotion,1F63E
353,🌍,Travel & Places,1F30D
354,🌎,Travel & Places,1F30E
355,🌏,Travel & Places,1F30F
356,🌐,Travel & Places,1F310
358,🗾,Travel & Places,1F5FE
361,🌋,Travel & Places,1F30B
362,🗻,Travel & Places,1F5FB
371,🛖,Travel & Places,1F6D6
374,🏠,Travel & Places,1F3E0
375,🏡,Travel & Places,1F3E1
376,🏢,Travel & Places,1F3E2
377,🏣,Travel & Places,1F3E3
378,🏤,Travel & Places,1F3E4
379,🏥,Travel & Places,1F3E5
380,🏦,Travel & Places,1F3E6
381,🏨,Travel & Places,1F3E8
382,🏩,Travel & Places,1F3E9
383,🏪,Travel & Places,1F3EA
384,🏫,Travel & Places,1F3EB
385,🏬,Travel & Places,1F3EC
386,🏭,Travel & Places,1F3ED
387,🏯,Travel & Places,1F3EF
388,🏰,Travel & Places,1F3F0
389,💒,Travel & Places,1F492
390,🗼,Travel & Places,1F5FC
391,🗽,Travel & Places,1F5FD
392,⛪,Travel & Places,26EA
393,🕌,Travel & Places,1F54C
394,🛕,Travel & Places,1F6D5
395,🕍,Travel & Places,1F54D
397,🕋,Travel & Places,1F54B
398,⛲,Travel & Places,26F2
399,⛺,Travel & Places,26FA
400,🌁,Travel & Places,1F301
401,🌃,Travel & Places,1F303
403,🌄,Travel & Places,1F304
404,🌅,Travel & Places,1F305
405,🌆,Travel & Places,1F306
406,🌇,Travel & Places,1F307
407,🌉,Travel & Places,1F309
409,🎠,Travel & Places,1F3A0
410,🎡,Travel & Places,1F3A1
411,🎢,Travel & Places,1F3A2
412,💈,Travel & Places,1F488
413,💈,Travel & Places,1F488
414,🎪,Travel & Places,1F3AA
415,🚏,Travel & Places,1F68F
418,⛽,Travel & Places,26FD
419,🚥,Travel & Places,1F6A5
420,🚦,Travel & Places,1F6A6
421,🧱,Travel & Places,1F9F1
422,🪨,Travel & Places,1FAA8
423,🪵,Travel & Places,1FAB5
424,⌚,Travel & Places,231A
425,📱,Objects,1F4F1
426,📲,Objects,1F4F2
427,💻,Objects,1F4BB
431,🧭,Travel & Places,1F9ED
437,💽,Objects,1F4BD
438,💾,Objects,1F4BE
439,💿,Objects,1F4BF
440,📀,Objects,1F4C0
441,📼,Objects,1F4FC
442,📷,Objects,1F4F7
443,📸,Objects,1F4F8
444,📹,Objects,1F4F9
445,🎥,Objects,1F3A5
448,📞,Objects,1F4DE
450,📟,Objects,1F4DF
451,📠,Objects,1F4E0
452,📺,Objects,1F4FA
453,📻,Objects,1F4FB
459,⏰,Travel & Places,23F0
461,⌛,Travel & Places,231B
462,⏳,Travel & Places,23F3
463,📡,Objects,1F4E1
464,🔋,Objects,1F50B
465,🔌,Objects,1F50C
466,💡,Objects,1F4A1
467,🔦,Objects,1F526
469,🪔,Objects,1FA94
470,🧯,Objects,1F9EF
472,💸,Objects,1F4B8
473,💵,Objects,1F4B5
474,💴,Objects,1F4B4
475,💶,Objects,1F4B6
476,💷,Objects,1F4B7
477,💰,Objects,1F4B0
478,💳,Objects,1F4B3
479,💎,Objects,1F48E
481,🪜,Objects,1FA9C
482,🧰,Objects,1F9F0
483,🪛,Objects,1FA9B
484,🔧,Objects,1F527
485,🔨,Objects,1F528
489,🪚,Objects,1FA9A
490,🔩,Objects,1F529
492,🪤,Objects,1FAA4
494,🧲,Objects,1F9F2
495,🔫,Activities,1F52B
496,💣,Objects,1F4A3
497,🧨,Activities,1F9E8
498,🪓,Objects,1FA93
499,🔪,Food & Drink,1F52A
503,🚬,Objects,1F6AC
505,🪦,Objects,1FAA6
507,🏺,Food & Drink,1F3FA
508,🔮,Activities,1F52E
509,🔮,Activities,1F52E
510,📿,Objects,1F4FF
511,🧿,Objects,1F9FF
512,🧿,Objects,1F9FF
514,🔭,Objects,1F52D
515,🔬,Objects,1F52C
517,🩹,Objects,1FA79
518,🩺,Objects,1FA7A
519,💊,Objects,1F48A
520,💉,Objects,1F489
521,🩸,Objects,1FA78
522,🧬,Objects,1F9EC
523,🦠,Animals & Nature,1F9A0
524,🧫,Objects,1F9EB
525,🧪,Objects,1F9EA
527,🧹,Objects,1F9F9
528,🪠,Objects,1FAA0
529,🧺,Objects,1F9FA
530,🧻,Objects,1F9FB
531,🚽,Objects,1F6BD
532,🚰,Symbols,1F6B0
533,🚿,Objects,1F6BF
534,🛁,Objects,1F6C1
535,🛀,People & Body,1F6C0
536,🧼,Objects,1F9FC
537,🪥,Objects,1FAA5
538,🪒,Objects,1FA92
539,🧽,Objects,1F9FD
540,🪣,Objects,1FAA3
541,🧴,Objects,1F9F4
543,🔑,Objects,1F511
545,🚪,Objects,1F6AA
546,🪑,Objects,1FA91
549,🛌,People & Body,1F6CC
550,🧸,Activities,1F9F8
551,🧸,Activities,1F9F8
555,🛒,Objects,1F6D2
556,🎁,Activities,1F381
557,🎈,Activities,1F388
558,🎏,Activities,1F38F
559,🎀,Activities,1F380
560,🪄,Activities,1FA84
561,🪄,Activities,1FA84
562,🎊,Activities,1F38A
563,🎉,Activities,1F389
564,🎎,Activities,1F38E
565,🏮,Objects,1F3EE
566,🎐,Activities,1F390
567,🧧,Activities,1F9E7
569,📩,Objects,1F4E9
570,📨,Objects,1F4E8
571,📧,Objects,1F4E7
572,💌,Smileys & Emotion,1F48C
573,📥,Objects,1F4E5
574,📤,Objects,1F4E4
575,📦,Objects,1F4E6
577,📪,Objects,1F4EA
578,📫,Objects,1F4EB
579,📬,Objects,1F4EC
580,📭,Objects,1F4ED
581,📮,Objects,1F4EE
582,📯,Objects,1F4EF
583,📜,Objects,1F4DC
584,📃,Objects,1F4C3
585,📄,Objects,1F4C4
586,📑,Objects,1F4D1
587,🧾,Objects,1F9FE
588,📊,Objects,1F4CA
589,📈,Objects,1F4C8
590,📉,Objects,1F4C9
593,📆,Objects,1F4C6
594,📅,Objects,1F4C5
596,📇,Objects,1F4C7
600,📋,Objects,1F4CB
601,📁,Objects,1F4C1
602,📂,Objects,1F4C2
605,📰,Objects,1F4F0
606,📓,Objects,1F4D3
607,📔,Objects,1F4D4
608,📒,Objects,1F4D2
609,📕,Objects,1F4D5
610,📗,Objects,1F4D7
611,📘,Objects,1F4D8
612,📙,Objects,1F4D9
613,📚,Objects,1F4DA
614,📖,Objects,1F4D6
615,🔖,Objects,1F516
616,🧷,Objects,1F9F7
617,🔗,Objects,1F517
618,📎,Objects,1F4CE
620,📐,Objects,1F4D0
621,📏,Objects,1F4CF
622,🧮,Objects,1F9EE
623,📌,Objects,1F4CC
624,📍,Objects,1F4CD
631,📝,Objects,1F4DD
633,🔍,Objects,1F50D
634,🔎,Objects,1F50E
635,🔏,Objects,1F50F
636,🔐,Objects,1F510
637,🔒,Objects,1F512
638,🔓,Objects,1F513
639,🚎,Travel & Places,1F68E
640,🚐,Travel & Places,1F690
641,🚑,Travel & Places,1F691
642,🚒,Travel & Places,1F692
643,🚓,Travel & Places,1F693
644,🚔,Travel & Places,1F694
645,🚕,Travel & Places,1F695
646,🚖,Travel & Places,1F696
647,🚗,Travel & Places,1F697
648,🚘,Travel & Places,1F698
649,🚙,Travel & Places,1F699
